Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB0011","CH0080","","Chair, Environmental Matters Committee","Authorizing specified fee revenue collected for the Bay Restoration Fund to pay specified debt issued by a local government for the cost of connecting properties served by on-site sewage disposal systems to specified existing municipal wastewater facilities under specified circumstances; altering conditions for the funding of specified costs; requiring the Department of the Environment to adopt specified regulations; etc.","Environment - Bay Restoration Fund - Authorized Uses","Approved by the Governor - Chapter 80","1/8/2014","Environmental Matters ","1/29/2014"," 2:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable with Amendments","3/8/2014","Passed with Amendments","3/9/2014","Passed","3/10/2014","Education, Health, and Environmental Affairs ","3/14/2014"," 1:00 p.m.","","","","3/18/2014","Favorable with Amendments","3/13/2014","Passed with Amendments","3/14/2014","Passed with Amendments","Concurred","Yes","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0012","","","Chair, Environmental Matters Committee","Authorizing specified fee revenue collected for the Bay Restoration Fund to be used by specified local public entities to implement regulations for on-site sewage disposal systems that utilize the best available technology for the removal of nitrogen.","Bay Restoration Fund - Authorized Uses - Local Entities","Returned Passed","1/8/2014","Environmental Matters ","1/29/2014"," 2:00 p.m.","","","","2/17/2014 12:00:00 AM","Favorable","2/18/2014","Passed","2/20/2014","Passed","2/21/2014","Education, Health, and Environmental Affairs ","3/11/2014"," 1:00 p.m.","","","","3/26/2014","Favorable","3/19/2014","Passed","3/20/2014","Passed","Returned Passed","Yes","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0013","CH0081","","Chair, Health and Government Operations Committee","Clarifying that realized capital gains are not income of a perpetual care trust fund and shall be deposited in the trust fund as principal; providing that a specified restriction on the use of perpetual care trust funds to make loans or investments in the real property of a cemetery applies to the buildings and structures appurtenant to the property; clarifying that realized capital gains are income of a preneed trust account; etc.","Office of Cemetery Oversight - Perpetual Care Trust Funds and Preneed Trust Accounts - Regulation","Approved by the Governor - Chapter 81","1/8/2014","Health and Government Operations ","1/29/2014"," 1:00 p.m.","","","","2/11/2014 12:00:00 AM","Favorable with Amendments","2/18/2014","Passed with Amendments","2/20/2014","Passed","2/21/2014","Finance ","3/25/2014"," 1:00 p.m.","","","","3/28/2014","Favorable","3/21/2014","Passed","3/22/2014","Passed","Returned Passed","Yes","","","Business Regulation and Occupations","c2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0014","","","Chair, Health and Government Operations Committee","Requiring that specified procurements by a designated procurement unit that fall within a specified dollar value range be designated for the Small Business Reserve program; requiring the Council for the Procurement of Health, Educational, and  Social Services and the Secretary of General Services or the Secretary's designee to conduct a study regarding participation by small businesses in State contracting and make a report to the Board of Works and the General assembly on or before July 1, 2015; etc.","Small Business Reserve Program - Procurements by Designated Procurement Units","Hearing 3/25 at 1:00 p.m.","1/8/2014","Health and Government Operations ","2/5/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","3/25/2014"," 1:00 p.m.","","","","","","","","","","","No","","","State Government - Procurement","p2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0015","","SB0470","Delegate McDermott","Establishing the Public School Facilities Security Improvements Program; requiring the Interagency Committee on Public School Construction to implement and administer the Program and to develop procedures to provide grants to county boards to improve security in public school facilities; authorizing the Interagency Committee to award grants to improve security in public school facilities under specified circumstances; requiring the Governor to provide a specified amount in the State budget for the Program in fiscal year 2016; etc.","Public School Facilities Security Improvements Program","Hearing 1/29 at 1:00 p.m.","1/8/2014","Ways and Means ","1/29/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0016","","","Delegate Smigiel","Altering the number of regular members of the Cecil County Board of Elections; requiring the members of the local board to be of specified political parties; requiring that a vacancy on the local board be filled in a specified manner; and providing for a delayed effective date of June 1, 2015.","Cecil County - Board of Elections - Membership","Returned Passed","1/8/2014","Ways and Means ","1/30/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable","3/11/2014","Passed","3/12/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Elections","g1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0017","","","Delegate Cardin","Expanding the prohibition against using an interactive computer service to maliciously engage in a specified course of conduct that inflicts serious emotional distress on a minor or places a minor in reasonable fear of death or serious bodily injury with a specified intent, so as to prohibit this conduct against any person regardless of age; and providing penalties for a violation of the Act.","Criminal Law - Misuse of Interactive Computer Service","Unfavorable Report by Judiciary","1/8/2014","Judiciary ","1/28/2014"," 1:00 p.m.","","","","2/24/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0018","","SB0074","Delegate Stein","Requiring public senior higher education institutions and community colleges in the State to provide specified information on the cost of higher education at the institution to all first-time, full-time undergraduate freshmen beginning in the 2014-2015 academic year.","Institutions of Higher Education - Student Notification - Financial Information","Returned Passed","1/8/2014","Appropriations ","1/28/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Favorable with Amendments","2/11/2014","Passed with Amendments","2/13/2014","Passed","2/14/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Higher Education","f2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0019","","","Delegate Cardin","Requiring the Maryland Higher Education Commission to establish  procedures for the administration of sexual assault surveys by institutions of higher education; requiring each institution of higher education to administer a sexual assault survey every 3 years to students, faculty members, and employees in accordance with specified procedures; requiring each institution of higher education to report school specific sexual assault survey results to the Commission; requiring the appointment of sexual assault victim advocates; etc.","Higher Education - Sexual Assault Surveys and Sexual Assault Victim Advocates","Hearing 1/29 at 1:00 p.m.","1/8/2014","Ways and Means ","1/29/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Higher Education","f2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0020","","","Delegate Cluster","Requiring that a specified number of school resource officers be assigned to specified public schools in the State; requiring specified public schools to hire retired law enforcement officers to serve as school resource officers for the school; requiring specified school resource officers to obtain a special police officer commission issued by the Department of State Police; requiring the county superintendent to submit an application to the Secretary of State Police for a special police commission for each school resource officer hired; etc.","Primary and Secondary Education - Security - School Resource Officers","Hearing 1/29 at 1:00 p.m.","1/8/2014","Ways and Means ","1/29/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0021","","","Delegate Conaway","Prohibiting a person from willfully disobeying a lawful instruction from a 9-1-1 operator responding to the person's call for emergency assistance if the person is capable of obeying the instruction, obeying the instruction would not place the person or another person in danger of physical harm, and the failure to obey the instruction directly leads to another's bodily harm or property damage; and establishing penalties for a violation of the Act.","Criminal Law - Causing Injury by Failure to Obey a 9-1-1 Operator - Penalties","Unfavorable Report by Judiciary","1/8/2014","Judiciary ","1/28/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0022","","","Delegate Conaway","Prohibiting Baltimore City from adopting an ordinance that eliminates or limits a specified common law requirement that a person retreat from an attack.","Baltimore City - Prohibition on Ordinance Eliminating or Limiting Duty to Retreat","Unfavorable Report by Judiciary; Withdrawn","1/8/2014","Judiciary ","","","","","","2/10/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Counties - Generally","l1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0023","","SB0063","Delegate Vallario","Altering the date by which the Task Force to Study the Laws Relating to Representation of Indigent Criminal Defendants by the Office of the Public Defender is required to submit specified findings and recommendations; and extending the termination date of the Task Force.","Task Force to Study the Laws Relating to Representation of Indigent Criminal Defendants by the Office of the Public Defender - Extension","Unfavorable Report by Judiciary; Withdrawn","1/8/2014","Judiciary ","1/21/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0024","","","Delegate Cluster","Increasing, from 90 days to 1 year, the time period after which an  appointing authority may not bring charges recommending the imposition of discipline against a correctional officer; providing that the 1-year limitation does not apply to charges that relate to criminal activity; and clarifying that the 1-year limitation does not apply to charges that relate to excessive use of force.","Correctional Officers' Bill of Rights - Investigations","Unfavorable Report by Appropriations","1/8/2014","Appropriations ","1/28/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Government - Personnel","p4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0025","","","Delegate George","Prohibiting a municipality from requiring an individual to provide a reason that the individual will be unable to vote in person on election day in order to vote by absentee ballot.","Local Government - Municipal Elections - No-Excuse Absentee Voting","Hearing 3/20 at 1:00 p.m.","1/8/2014","Ways and Means ","1/30/2014"," 1:00 p.m.","","","","2/24/2014 12:00:00 AM","Favorable","2/25/2014","Passed","2/27/2014","Passed","2/28/2014","Education, Health, and Environmental Affairs ","3/20/2014"," 1:00 p.m.","","","","","","","","","","","No","","","Municipal Corporations","l3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0026","","SB0151","Delegate McDermott","Altering a specified provision of law to clarify that a promulgating unit is required to submit a specified fiscal impact statement with a proposed regulation to the Joint Committee on Administrative, Executive, and Legislative Review and the Department of Legislative Services; and altering a specified provision of law to prohibit a unit from adopting a proposed regulation until after a specified fiscal impact statement is submitted with the proposed regulation to the Committee for preliminary review.","Administrative Procedure Act - Fiscal Impact Statements for Proposed Regulations","Unfavorable Report by Health and Government Operations; Withdrawn","1/8/2014","Health and Government Operations ","1/23/2014"," 2:00 p.m.","","","","2/25/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","State Government - Regulations and Procedures","p3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0027","","SB0656","Delegate Washington, M.","Prohibiting the use of a physical restraint on an inmate while the inmate is in labor or during delivery except under specified circumstances; requiring the specified responsible medical personnel to determine when the inmate's health allows the inmate to be returned to a correctional facility after giving birth; prohibiting, with specified exceptions, a physical restraint from being used on a specified inmate; requiring specified correctional officials to develop a policy for use at each correctional facility;  etc.","Correctional Services - Healthy Births for Incarcerated Women Act","Passed Enrolled","1/8/2014","Judiciary ","1/28/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Favorable with Amendments","3/4/2014","Passed with Amendments","3/6/2014","Passed","3/7/2014","Judicial Proceedings ","","","","","","4/1/2014","Favorable with Amendments","3/24/2014","Passed with Amendments","3/26/2014","Passed with Amendments","Concurred","Yes","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0028","","SB0443","Delegate McDermott","Prohibiting a person from knowingly creating, building, or installing a specified hidden compartment in a motor vehicle; prohibiting a person from knowingly owning or operating a motor vehicle that contains a specified hidden compartment; authorizing the seizure of specified motor vehicles involved in a violation of the Act; requiring the forfeiture of specified motor vehicles seized under the Act; etc.","Vehicle Laws - Hidden Compartments - Prohibition and Penalties","Unfavorable Report by Judiciary; Withdrawn","1/8/2014","Judiciary ","1/29/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Vehicle Laws - Equipment and Inspections","r6","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0029","","SB0554","Delegate Gutierrez","Providing that when an individual becomes eligible for release from State or local custody, a law enforcement or any other government official may not continue to detain the individual on the basis of an immigration detainer; providing that a detainee may not be denied bail solely because of an immigration detainer; etc.","Maryland Law Enforcement Trust Act","Unfavorable Report by Judiciary; Withdrawn","1/8/2014","Judiciary ","3/6/2014"," 1:00 p.m.","","","","3/31/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0030","","","Delegate McDermott","Altering the manner in which seized contraband tobacco products or specified conveyances are processed following seizure; authorizing the Comptroller to destroy, or authorize a political subdivision to destroy, contraband tobacco products or conveyances seized and forfeited under specified circumstances; and requiring the Comptroller to remove or authorize a political subdivision to destroy specified seized contraband tobacco products and conveyances on or before December 1, 2014.","Contraband Tobacco Products and Conveyances - Seizures and Disposition","Unfavorable Report by Economic Matters","1/8/2014","Economic Matters ","1/29/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Taxes - Sales and Use","q4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0031","","SB0272","Delegate McDermott","Requiring, in a sentencing or disposition hearing, a court to allow a victim or the victim's representative to address the court under oath before the imposition of sentence or other disposition under specified circumstances.","Sentencing Procedures - Statement by Victim or Victim's Representative (Alex's Law)","First Reading Judicial Proceedings","1/8/2014","Judiciary ","1/16/2014"," 1:00 p.m.","","","","2/17/2014 12:00:00 AM","Favorable","2/18/2014","Passed","2/20/2014","Passed","2/21/2014","Judicial Proceedings ","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0032","","SB0442","Delegate McDermott","Exempting a vehicle used by a law enforcement agency from a prohibition against affixing specified tinting materials to a vehicle's windows.","Vehicle Laws - Law Enforcement Vehicles - Tinted Windows","Unfavorable Report by Environmental Matters","1/8/2014","Environmental Matters ","1/28/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Vehicle Laws - Equipment and Inspections","r6","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0033","","","Delegate Smigiel","Prohibiting a specified professional counselor or therapist from engaging in a sexual act or vaginal intercourse with a person who is receiving counseling from the professional counselor or therapist or received counseling from the professional counselor or therapist within a specified period of time; providing a 3-year statute of limitations for the prosecution of a violation of the Act; etc.","Criminal Law - Professional Counselors and Therapists - Conduct (Lynette's Law)","Hearing 4/07 at 3:30 p.m.","1/8/2014","Judiciary ","1/28/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Judicial Proceedings ","4/7/2014"," 3:30 p.m.","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0034","","","Delegate McDermott","Providing that an income tax return preparer who willfully prepares, assists in preparing, or causes the preparation of a false income tax return or claim for refund under specified circumstances is subject to a specified statute of limitations and may reserve a point or question for a specified judicial review.","Income Tax Return Preparers - False Returns or Claims for Refund - Statute of Limitations","Hearing 1/28 at 1:00 p.m.","1/8/2014","Ways and Means ","1/28/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Miscellaneous","q7","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0035","","","Delegate Miller, W.","Requiring the Public Service Commission and specified electric companies to establish priorities for targeting remediation projects; establishing an Electric Reliability Remediation Fund in the Commission; providing for the purpose, administration, investment, sources, and permissible uses of the Fund; requiring that specified electric companies maintain the reliability of their distribution systems in accordance with specified standards; requiring that specified civil penalties be paid into the Fund; etc. ","Electric Reliability - Priorities and Funding","Passed Enrolled","1/8/2014","Economic Matters ","1/30/2014"," 1:00 p.m.","","","","2/4/2014 12:00:00 AM","Favorable","2/5/2014","Passed","2/7/2014","Passed","2/10/2014","Finance ","3/26/2014"," 1:00 p.m.","","","","4/1/2014","Favorable with Amendments","3/23/2014","Passed with Amendments","3/24/2014","Passed with Amendments","Concurred","Yes","","","Utility Regulation","c5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0036","","","Delegate Smigiel","Repealing the requirement that the Secretary of State Police find that a person has a good and substantial reason to carry, wear, or transport a handgun before issuing a handgun permit to the person.","Public Safety - Handgun Permit - Applicant Qualifications","Hearing 3/04 at 1:00 p.m.","1/8/2014","Judiciary ","3/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0037","","","Delegate Washington, M.","Establishing that the ability of an employer to establish standards concerning an employee's dress and grooming that are directly related to the nature of the employment of the employee does not allow the employer to require or prohibit specific hairstyles or facial hair or prohibit an employee from wearing clothing or adopting modes of grooming based on sex.","Employment Discrimination - Dress and Grooming Standards","Unfavorable Report by Health and Government Operations","1/8/2014","Health and Government Operations ","2/12/2014"," 1:00 p.m.","","","","2/25/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Human Relations","d5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0038","","SB0061","Chair, Judiciary Committee","Requiring that appellate review of final judgments in specified  criminal proceedings be sought by application for leave to appeal.","Court of Special Appeals - Writs of Actual Innocence, Illegal Sentences, and Coram Nobis Petitions - Review by Application for Leave to Appeal","Unfavorable Report by Judiciary","1/8/2014","Judiciary ","1/14/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0039","","SB0016","Delegate Jameson","Authorizing the Chesapeake Employers' Insurance Company to issue policies for employer's liability insurance and insurance under a federal compensation law; providing an exception to a specified prohibition to allow the Company to cancel or refuse to renew or issue a policy for failure to reimburse the Company under a policy with deductibles as required under a specified provision of law; and making the Act an emergency measure.","Chesapeake Employers' Insurance Company - Issuance, Renewal, and Cancellation of Policies - Authority","Returned Passed","1/8/2014","Economic Matters ","2/4/2014"," 1:00 p.m.","","","","2/11/2014 12:00:00 AM","Favorable with Amendments","2/13/2014","Passed with Amendments","2/18/2014","Passed","2/19/2014","Finance ","3/20/2014"," 1:00 p.m.","","","","3/25/2014","Favorable","3/18/2014","Passed","3/19/2014","Passed","Returned Passed","Yes","Yes","","Workers' Compensation","k1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0040","","SB0593","Delegate Murphy","Requiring the Governor annually to proclaim November as American Indian Heritage Month; and requiring the proclamation to urge educational and cultural organizations to observe the month with appropriate programs, ceremonies, and activities.","State Government - Commemorative Months - American Indian Heritage Month","Returned Passed","1/8/2014","Health and Government Operations ","1/16/2014"," 1:00 p.m.","","","","2/11/2014 12:00:00 AM","Favorable with Amendments","2/13/2014","Passed with Amendments","2/18/2014","Passed","2/19/2014","Education, Health, and Environmental Affairs ","","","","","","4/5/2014","Favorable","3/28/2014","Passed","3/29/2014","Passed","Returned Passed","Yes","","","State Government - Agencies, Offices, and Officials","p1","2014 Regular Session","4/9/2014 6:00:56 PM"
